record_id,hospital_name,ward,supplier_name,category,item_name,received_date,expiry_date,shelf_life_days,days_until_expiry,is_expired,qty_received,qty_remaining,unit_cost_usd,waste_value_usd,procurement_month
REC00039,Metro Health Hub,Orthopedics,MedLine Supplies Co.,Diagnostic Kit,Urine Dipstick,2025-04-05,2025-12-09,248,191,False,125,1,23.18,0.0,2025-04
REC00040,City General Hospital,General Ward,MedLine Supplies Co.,IV Fluid,Mannitol 20%,2024-07-04,2025-09-10,433,101,False,174,9,296.09,0.0,2024-07
REC00041,Metro Health Hub,Pharmacy Store,NovaMed Solutions,IV Fluid,Dextrose 5% 1L,2025-02-21,2026-06-01,465,365,False,484,31,206.77,0.0,2025-02
REC00042,Metro Health Hub,Cardiology,GlobalMed Imports,PPE,Face Shield,2024-05-01,2026-02-05,645,249,False,278,20,335.29,0.0,2024-05
REC00043,Sunrise Clinic,Oncology,GlobalMed Imports,Surgical Supply,Sterile Drape,2024-08-29,2027-06-01,1006,730,False,89,22,130.36,0.0,2024-08
REC00044,Metro Health Hub,Oncology,NovaMed Solutions,PPE,N95 Mask,2025-03-13,2026-05-30,443,363,False,411,27,31.24,0.0,2025-03
REC00045,City General Hospital,Oncology,GlobalMed Imports,IV Fluid,Mannitol 20%,2025-04-21,2026-08-13,479,438,False,60,18,172.72,0.0,2025-04
REC00046,Metro Health Hub,Pharmacy Store,PharmaDirect Ltd.,IV Fluid,Mannitol 20%,2024-08-20,2025-07-05,319,34,False,298,3,176.51,0.0,2024-08
REC00047,Metro Health Hub,Emergency,CarePlus Distributors,IV Fluid,Dextrose 5% 1L,2024-07-08,2025-11-03,483,155,False,389,3,40.07,0.0,2024-07
REC00048,Metro Health Hub,Oncology,MedLine Supplies Co.,Surgical Supply,Surgical Gloves L,2025-01-09,2026-12-10,700,557,False,222,48,127.02,0.0,2025-01
REC00049,North Medical Center,Emergency,MedLine Supplies Co.,IV Fluid,Normal Saline 500ml,2024-05-04,2025-09-28,512,119,False,449,10,340.02,0.0,2024-05
REC00050,North Medical Center,Orthopedics,NovaMed Solutions,PPE,Surgical Mask Box,2025-01-20,2026-05-11,476,344,False,288,32,345.69,0.0,2025-01
REC00051,Metro Health Hub,Pharmacy Store,PharmaDirect Ltd.,Pharmaceutical,Metformin 850mg,2024-12-14,2025-09-30,290,121,False,396,116,431.28,0.0,2024-12
REC00052,Valley Care Hospital,General Ward,MedLine Supplies Co.,Pharmaceutical,Paracetamol 500mg,2024-06-03,2025-08-05,428,65,False,462,30,358.81,0.0,2024-06
REC00053,City General Hospital,Cardiology,GlobalMed Imports,Diagnostic Kit,Pregnancy Test Kit,2024-06-18,2025-06-02,349,1,False,56,23,370.49,8521.27,2024-06
REC00054,Valley Care Hospital,Oncology,GlobalMed Imports,IV Fluid,Dextrose 5% 1L,2024-10-12,2026-02-19,495,263,False,446,123,210.53,0.0,2024-10
REC00055,Metro Health Hub,General Ward,GlobalMed Imports,Surgical Supply,Surgical Gloves L,2024-12-31,2026-09-06,614,462,False,392,48,153.04,0.0,2024-12
REC00056,City General Hospital,Orthopedics,PharmaDirect Ltd.,Surgical Supply,Scalpel Blade 22,2025-02-03,2026-10-25,629,511,False,409,112,126.13,0.0,2025-02
REC00057,City General Hospital,ICU,GlobalMed Imports,Pharmaceutical,Metformin 850mg,2024-05-19,2026-01-05,596,218,False,380,91,222.14,0.0,2024-05
REC00058,Valley Care Hospital,Oncology,GlobalMed Imports,Surgical Supply,Scalpel Blade 22,2024-06-02,2026-04-11,678,314,False,321,44,192.91,0.0,2024-06
REC00059,Metro Health Hub,Oncology,NovaMed Solutions,IV Fluid,Ringer Lactate 1L,2024-12-17,2025-09-21,278,112,False,111,11,88.21,0.0,2024-12
REC00060,North Medical Center,Oncology,MedLine Supplies Co.,PPE,Face Shield,2025-04-01,2026-07-01,456,395,False,204,0,319.34,0.0,2025-04
REC00061,Metro Health Hub,Oncology,PharmaDirect Ltd.,Pharmaceutical,Paracetamol 500mg,2024-12-24,2025-10-29,309,150,False,343,36,212.56,0.0,2024-12
REC00062,North Medical Center,Emergency,NovaMed Solutions,Pharmaceutical,Amlodipine 5mg,2024-09-20,2025-07-13,296,42,False,345,80,309.69,0.0,2024-09
REC00063,Metro Health Hub,Cardiology,CarePlus Distributors,Diagnostic Kit,COVID Rapid Test,2025-01-15,2025-11-14,303,166,False,454,57,349.62,0.0,2025-01
REC00064,North Medical Center,Emergency,PharmaDirect Ltd.,Diagnostic Kit,Pregnancy Test Kit,2024-12-17,2025-05-06,140,-26,True,158,38,298.04,11325.52,2024-12
REC00065,Sunrise Clinic,Pharmacy Store,GlobalMed Imports,PPE,N95 Mask,2025-03-03,2027-01-01,669,579,False,290,37,17.11,0.0,2025-03
REC00066,Sunrise Clinic,General Ward,PharmaDirect Ltd.,IV Fluid,Normal Saline 500ml,2024-06-05,2025-07-07,397,36,False,328,28,292.32,0.0,2024-06
REC00067,Sunrise Clinic,Orthopedics,NovaMed Solutions,Pharmaceutical,Amoxicillin 500mg,2025-02-27,2026-07-06,494,400,False,289,38,315.63,0.0,2025-02
REC00068,Valley Care Hospital,Orthopedics,MedLine Supplies Co.,IV Fluid,Mannitol 20%,2025-04-11,2026-08-13,489,438,False,63,2,104.94,0.0,2025-04
REC00069,Metro Health Hub,Pharmacy Store,CarePlus Distributors,Diagnostic Kit,COVID Rapid Test,2024-04-27,2025-04-17,355,-45,True,192,28,448.63,12561.64,2024-04
REC00070,Metro Health Hub,Oncology,CarePlus Distributors,Pharmaceutical,Omeprazole 20mg,2024-11-25,2026-07-16,598,410,False,489,41,150.09,0.0,2024-11
REC00071,City General Hospital,Pharmacy Store,NovaMed Solutions,PPE,N95 Mask,2024-10-02,2025-11-30,424,182,False,445,103,389.55,0.0,2024-10
REC00072,North Medical Center,Oncology,NovaMed Solutions,IV Fluid,Mannitol 20%,2025-04-25,2026-09-05,498,461,False,370,56,342.6,0.0,2025-04
REC00073,Sunrise Clinic,Orthopedics,MedLine Supplies Co.,Surgical Supply,Sterile Drape,2024-10-10,2026-02-11,489,255,False,459,61,320.13,0.0,2024-10
REC00074,Sunrise Clinic,Orthopedics,GlobalMed Imports,PPE,Disposable Gown,2025-04-05,2027-03-02,696,639,False,476,39,225.52,0.0,2025-04
REC00075,North Medical Center,General Ward,MedLine Supplies Co.,IV Fluid,Mannitol 20%,2024-09-23,2025-10-04,376,125,False,356,65,336.47,0.0,2024-09
REC00076,Metro Health Hub,General Ward,PharmaDirect Ltd.,Diagnostic Kit,Pregnancy Test Kit,2024-11-29,2025-02-28,91,-93,True,478,80,262.02,20961.6,2024-11
REC00077,North Medical Center,Orthopedics,CarePlus Distributors,IV Fluid,Mannitol 20%,2024-11-27,2026-01-14,413,227,False,495,48,441.4,0.0,2024-11
REC00078,City General Hospital,Emergency,NovaMed Solutions,Surgical Supply,Scalpel Blade 22,2025-04-30,2027-08-27,849,817,False,455,38,224.16,0.0,2025-04
REC00079,North Medical Center,ICU,CarePlus Distributors,PPE,Face Shield,2025-04-01,2026-04-08,372,311,False,419,18,185.97,0.0,2025-04
REC00080,Sunrise Clinic,Pharmacy Store,CarePlus Distributors,Diagnostic Kit,Urine Dipstick,2024-07-07,2024-11-15,131,-198,True,489,73,172.55,12596.15,2024-07
REC00081,City General Hospital,Cardiology,PharmaDirect Ltd.,PPE,N95 Mask,2024-07-10,2025-08-25,411,85,False,272,12,342.77,0.0,2024-07
REC00082,Metro Health Hub,Orthopedics,PharmaDirect Ltd.,Diagnostic Kit,COVID Rapid Test,2025-04-29,2025-12-25,240,207,False,270,18,111.78,0.0,2025-04
REC00083,Sunrise Clinic,Cardiology,GlobalMed Imports,Surgical Supply,Suture Kit 3-0,2025-04-12,2028-01-06,999,949,False,123,14,208.86,0.0,2025-04
REC00084,Sunrise Clinic,Cardiology,GlobalMed Imports,Pharmaceutical,Omeprazole 20mg,2024-12-26,2025-12-02,341,184,False,203,40,433.01,0.0,2024-12
REC00085,Sunrise Clinic,ICU,CarePlus Distributors,Surgical Supply,Scalpel Blade 22,2024-09-17,2026-05-17,607,350,False,344,37,446.73,0.0,2024-09
REC00086,North Medical Center,Orthopedics,GlobalMed Imports,Diagnostic Kit,COVID Rapid Test,2024-08-06,2025-07-16,344,45,False,360,102,160.16,0.0,2024-08
REC00087,Sunrise Clinic,Oncology,CarePlus Distributors,Surgical Supply,Surgical Gloves L,2024-07-05,2026-05-17,681,350,False,236,16,42.83,0.0,2024-07
REC00088,Sunrise Clinic,Pharmacy Store,GlobalMed Imports,Surgical Supply,Suture Kit 3-0,2025-03-16,2027-09-10,908,831,False,181,52,425.02,0.0,2025-03
REC00089,Sunrise Clinic,Orthopedics,MedLine Supplies Co.,Pharmaceutical,Omeprazole 20mg,2025-04-14,2026-03-04,324,276,False,96,25,179.07,0.0,2025-04
REC00090,Valley Care Hospital,Orthopedics,GlobalMed Imports,IV Fluid,Ringer Lactate 1L,2024-06-12,2025-10-31,506,152,False,105,14,213.49,0.0,2024-06
REC00091,City General Hospital,ICU,GlobalMed Imports,PPE,Surgical Mask Box,2024-06-25,2025-11-26,519,178,False,382,52,54.71,0.0,2024-06
REC00092,North Medical Center,Cardiology,MedLine Supplies Co.,IV Fluid,Normal Saline 500ml,2025-04-03,2026-04-16,378,319,False,239,69,190.06,0.0,2025-04
REC00093,City General Hospital,Pharmacy Store,GlobalMed Imports,IV Fluid,Mannitol 20%,2024-12-30,2025-10-17,291,138,False,277,30,385.31,0.0,2024-12
REC00094,Valley Care Hospital,ICU,MedLine Supplies Co.,PPE,Face Shield,2025-04-21,2026-12-09,597,556,False,96,21,97.42,0.0,2025-04
REC00095,North Medical Center,General Ward,NovaMed Solutions,Diagnostic Kit,Blood Glucose Strip,2025-03-19,2025-10-01,196,122,False,466,59,149.53,0.0,2025-03
REC00096,City General Hospital,Oncology,PharmaDirect Ltd.,Pharmaceutical,Amlodipine 5mg,2025-03-09,2026-01-16,313,229,False,388,110,14.04,0.0,2025-03
REC00097,Metro Health Hub,Cardiology,GlobalMed Imports,PPE,Face Shield,2025-05-14,2026-12-15,580,562,False,319,14,336.19,0.0,2025-05
REC00098,City General Hospital,ICU,CarePlus Distributors,PPE,N95 Mask,2024-10-03,2026-06-26,631,390,False,204,29,290.39,0.0,2024-10
REC00099,Sunrise Clinic,Orthopedics,NovaMed Solutions,IV Fluid,Mannitol 20%,2024-06-05,2025-01-08,217,-144,True,214,23,31.89,733.47,2024-06
REC00100,City General Hospital,General Ward,NovaMed Solutions,PPE,Face Shield,2024-11-08,2026-09-13,674,469,False,270,12,357.41,0.0,2024-11
REC00101,Sunrise Clinic,Pharmacy Store,GlobalMed Imports,Surgical Supply,Scalpel Blade 22,2024-10-03,2026-11-30,788,547,False,262,12,142.37,0.0,2024-10
REC00102,Sunrise Clinic,General Ward,PharmaDirect Ltd.,Diagnostic Kit,Blood Glucose Strip,2024-06-05,2024-10-19,136,-225,True,271,17,335.7,5706.9,2024-06
REC00103,City General Hospital,Oncology,NovaMed Solutions,PPE,N95 Mask,2024-07-26,2026-01-23,546,236,False,497,108,390.97,0.0,2024-07
REC00104,Valley Care Hospital,Oncology,MedLine Supplies Co.,Diagnostic Kit,Urine Dipstick,2025-03-30,2025-09-15,169,106,False,164,6,159.18,0.0,2025-03
REC00105,Sunrise Clinic,ICU,PharmaDirect Ltd.,Diagnostic Kit,Blood Glucose Strip,2024-10-15,2025-05-29,226,-3,True,189,44,414.89,18255.16,2024-10
REC00106,Metro Health Hub,Cardiology,CarePlus Distributors,Surgical Supply,Wound Dressing Pack,2024-06-20,2025-08-30,436,90,False,96,23,239.89,0.0,2024-06
REC00107,Sunrise Clinic,Cardiology,CarePlus Distributors,Diagnostic Kit,Blood Glucose Strip,2024-11-14,2025-03-27,133,-66,True,130,11,304.1,3345.1,2024-11
REC00108,Valley Care Hospital,Cardiology,NovaMed Solutions,IV Fluid,Mannitol 20%,2024-10-22,2025-06-17,238,16,False,270,38,129.25,4911.5,2024-10
REC00109,Sunrise Clinic,Oncology,GlobalMed Imports,Diagnostic Kit,COVID Rapid Test,2025-01-30,2025-05-28,118,-4,True,204,32,345.89,11068.48,2025-01
REC00110,Sunrise Clinic,ICU,CarePlus Distributors,Pharmaceutical,Amoxicillin 500mg,2024-09-10,2026-05-23,620,356,False,410,29,226.37,0.0,2024-09
REC00111,Metro Health Hub,Oncology,MedLine Supplies Co.,Pharmaceutical,Omeprazole 20mg,2025-05-13,2027-02-22,650,631,False,343,51,320.0,0.0,2025-05
REC00112,North Medical Center,Cardiology,NovaMed Solutions,IV Fluid,Normal Saline 500ml,2024-12-07,2026-05-24,533,357,False,95,13,380.41,0.0,2024-12
REC00113,Valley Care Hospital,Orthopedics,PharmaDirect Ltd.,IV Fluid,Normal Saline 500ml,2024-11-01,2025-10-17,350,138,False,89,16,285.87,0.0,2024-11
REC00114,City General Hospital,Emergency,CarePlus Distributors,Diagnostic Kit,Urine Dipstick,2024-05-15,2024-10-04,142,-240,True,151,27,272.07,7345.89,2024-05
REC00115,Sunrise Clinic,General Ward,GlobalMed Imports,IV Fluid,Mannitol 20%,2024-06-08,2025-02-20,257,-101,True,84,65,200.39,13025.35,2024-06
REC00116,Sunrise Clinic,ICU,MedLine Supplies Co.,PPE,N95 Mask,2024-11-23,2026-07-12,596,406,False,69,1,167.51,0.0,2024-11
REC00117,City General Hospital,Cardiology,MedLine Supplies Co.,PPE,Disposable Gown,2024-09-28,2026-08-03,674,428,False,293,64,70.01,0.0,2024-09
REC00118,Sunrise Clinic,Oncology,GlobalMed Imports,Diagnostic Kit,COVID Rapid Test,2024-09-06,2025-04-10,216,-52,True,318,71,275.39,19552.69,2024-09
REC00119,Sunrise Clinic,Oncology,NovaMed Solutions,IV Fluid,Mannitol 20%,2024-11-30,2025-07-01,213,30,False,98,17,306.07,0.0,2024-11
REC00120,City General Hospital,Oncology,NovaMed Solutions,Surgical Supply,Sterile Drape,2025-04-11,2027-04-04,723,672,False,389,50,60.21,0.0,2025-04
REC00121,North Medical Center,Oncology,CarePlus Distributors,IV Fluid,Ringer Lactate 1L,2025-03-18,2026-06-01,440,365,False,59,11,140.72,0.0,2025-03
REC00122,Valley Care Hospital,Emergency,NovaMed Solutions,Surgical Supply,Suture Kit 3-0,2025-03-13,2026-05-31,444,364,False,444,9,298.71,0.0,2025-03
REC00123,North Medical Center,Cardiology,NovaMed Solutions,IV Fluid,Dextrose 5% 1L,2025-02-28,2026-04-08,404,311,False,260,46,305.17,0.0,2025-02
REC00124,Sunrise Clinic,General Ward,CarePlus Distributors,Diagnostic Kit,Pregnancy Test Kit,2025-01-23,2025-09-28,248,119,False,238,56,209.1,0.0,2025-01
REC00125,Valley Care Hospital,ICU,NovaMed Solutions,PPE,Disposable Gown,2025-03-01,2026-03-27,391,299,False,378,61,393.67,0.0,2025-03
REC00126,North Medical Center,General Ward,CarePlus Distributors,Pharmaceutical,Amlodipine 5mg,2025-04-10,2026-03-20,344,292,False,475,111,43.54,0.0,2025-04
REC00127,City General Hospital,Oncology,MedLine Supplies Co.,Diagnostic Kit,COVID Rapid Test,2024-10-22,2025-10-04,347,125,False,247,10,170.27,0.0,2024-10
REC00128,City General Hospital,ICU,MedLine Supplies Co.,Diagnostic Kit,Blood Glucose Strip,2025-03-13,2026-02-07,331,251,False,438,120,203.25,0.0,2025-03
REC00129,Metro Health Hub,Pharmacy Store,NovaMed Solutions,Diagnostic Kit,Blood Glucose Strip,2025-03-07,2025-07-31,146,60,False,204,7,23.87,0.0,2025-03
REC00130,North Medical Center,Oncology,CarePlus Distributors,IV Fluid,Normal Saline 500ml,2025-03-27,2025-10-01,188,122,False,313,73,110.77,0.0,2025-03
REC00131,Sunrise Clinic,ICU,NovaMed Solutions,Pharmaceutical,Paracetamol 500mg,2024-11-23,2026-01-23,426,236,False,392,10,236.76,0.0,2024-11
REC00132,City General Hospital,Oncology,PharmaDirect Ltd.,PPE,N95 Mask,2024-11-04,2026-03-13,494,285,False,432,4,162.3,0.0,2024-11
REC00133,Metro Health Hub,Pharmacy Store,CarePlus Distributors,Pharmaceutical,Paracetamol 500mg,2024-05-11,2025-10-13,520,134,False,223,22,374.1,0.0,2024-05
REC00134,Sunrise Clinic,Oncology,NovaMed Solutions,Surgical Supply,Suture Kit 3-0,2025-04-20,2026-05-27,402,360,False,455,51,398.89,0.0,2025-04
REC00135,Sunrise Clinic,Oncology,MedLine Supplies Co.,IV Fluid,Mannitol 20%,2025-01-13,2025-12-05,326,187,False,491,12,389.94,0.0,2025-01
REC00136,Valley Care Hospital,Oncology,MedLine Supplies Co.,Diagnostic Kit,Pregnancy Test Kit,2024-10-30,2025-07-20,263,49,False,404,63,166.89,0.0,2024-10
REC00137,Sunrise Clinic,Cardiology,NovaMed Solutions,IV Fluid,Normal Saline 500ml,2024-10-14,2025-09-23,344,114,False,90,10,298.26,0.0,2024-10
REC00138,City General Hospital,ICU,CarePlus Distributors,IV Fluid,Dextrose 5% 1L,2024-06-03,2024-12-21,201,-162,True,364,60,125.36,7521.6,2024-06
REC00139,Sunrise Clinic,Oncology,CarePlus Distributors,Diagnostic Kit,Blood Glucose Strip,2025-05-07,2026-03-17,314,289,False,84,7,350.89,0.0,2025-05
REC00140,Valley Care Hospital,Oncology,CarePlus Distributors,PPE,N95 Mask,2024-07-17,2026-01-23,555,236,False,277,9,259.33,0.0,2024-07
REC00141,Sunrise Clinic,Pharmacy Store,CarePlus Distributors,Diagnostic Kit,Urine Dipstick,2025-01-15,2025-07-19,185,48,False,248,71,55.2,0.0,2025-01
REC00142,Metro Health Hub,ICU,GlobalMed Imports,Surgical Supply,Wound Dressing Pack,2024-12-27,2026-07-19,569,413,False,281,22,404.66,0.0,2024-12
REC00143,City General Hospital,Emergency,PharmaDirect Ltd.,Diagnostic Kit,COVID Rapid Test,2024-08-14,2025-01-31,170,-121,True,139,51,230.17,11738.67,2024-08
REC00144,Metro Health Hub,Pharmacy Store,CarePlus Distributors,Surgical Supply,Scalpel Blade 22,2025-05-09,2027-11-27,932,909,False,116,5,31.92,0.0,2025-05
REC00145,Sunrise Clinic,Emergency,NovaMed Solutions,PPE,Disposable Gown,2024-10-25,2025-12-01,402,183,False,280,59,306.85,0.0,2024-10
REC00146,Sunrise Clinic,Pharmacy Store,PharmaDirect Ltd.,PPE,Surgical Mask Box,2025-03-17,2026-12-07,630,554,False,128,19,76.18,0.0,2025-03
REC00147,Valley Care Hospital,Pharmacy Store,PharmaDirect Ltd.,Diagnostic Kit,Urine Dipstick,2025-04-12,2025-11-28,230,180,False,205,39,241.23,0.0,2025-04
REC00148,Sunrise Clinic,Pharmacy Store,PharmaDirect Ltd.,PPE,Surgical Mask Box,2025-02-24,2026-04-06,406,309,False,73,20,347.53,0.0,2025-02
REC00149,Metro Health Hub,Oncology,CarePlus Distributors,PPE,Disposable Gown,2024-07-10,2025-12-11,519,193,False,297,31,362.6,0.0,2024-07
REC00150,Sunrise Clinic,General Ward,GlobalMed Imports,Pharmaceutical,Insulin Glargine,2025-04-22,2026-03-29,341,301,False,154,21,273.98,0.0,2025-04
REC00151,North Medical Center,Emergency,MedLine Supplies Co.,Diagnostic Kit,Pregnancy Test Kit,2025-03-17,2025-08-08,144,68,False,288,15,122.19,0.0,2025-03
REC00152,North Medical Center,Cardiology,NovaMed Solutions,Pharmaceutical,Amlodipine 5mg,2024-11-07,2026-07-08,608,402,False,419,40,87.45,0.0,2024-11
REC00153,Sunrise Clinic,ICU,MedLine Supplies Co.,IV Fluid,Mannitol 20%,2024-12-16,2026-01-01,381,214,False,284,30,98.78,0.0,2024-12
REC00154,Sunrise Clinic,General Ward,CarePlus Distributors,Diagnostic Kit,Pregnancy Test Kit,2024-07-21,2025-07-20,364,49,False,270,17,397.4,0.0,2024-07
REC00155,Metro Health Hub,General Ward,NovaMed Solutions,Diagnostic Kit,COVID Rapid Test,2024-10-29,2025-05-06,189,-26,True,197,14,175.39,2455.46,2024-10
REC00156,Valley Care Hospital,Cardiology,NovaMed Solutions,Diagnostic Kit,COVID Rapid Test,2025-03-18,2025-12-24,281,206,False,237,18,91.58,0.0,2025-03
REC00157,Valley Care Hospital,Emergency,GlobalMed Imports,Pharmaceutical,Amoxicillin 500mg,2025-05-03,2026-03-19,320,291,False,283,19,273.8,0.0,2025-05
REC00158,Valley Care Hospital,Oncology,CarePlus Distributors,PPE,Face Shield,2025-02-28,2026-08-19,537,444,False,309,65,240.72,0.0,2025-02
REC00159,Valley Care Hospital,Orthopedics,PharmaDirect Ltd.,Pharmaceutical,Amlodipine 5mg,2024-12-04,2025-09-22,292,113,False,63,15,121.32,0.0,2024-12
REC00160,City General Hospital,Emergency,MedLine Supplies Co.,Pharmaceutical,Paracetamol 500mg,2024-09-19,2025-09-08,354,99,False,174,2,258.73,0.0,2024-09
REC00161,City General Hospital,Pharmacy Store,PharmaDirect Ltd.,IV Fluid,Ringer Lactate 1L,2024-10-20,2025-11-14,390,166,False,446,120,393.09,0.0,2024-10
REC00162,Valley Care Hospital,Oncology,NovaMed Solutions,PPE,Surgical Mask Box,2024-08-08,2026-02-16,557,260,False,210,22,208.2,0.0,2024-08
